UniProtKB/Swiss-Prot ID	Gene name	Gene stable ID
Q02864		YPL071C
Q03048	COF1	YLL050C
Q03213	HOT1	YMR172W
P32836	GSP2	YOR185C
Q07834		YLL032C
P38321		YBR225W
P32622	YEF1	YEL041W
P35843	HES1	YOR237W
Q04371		YMR027W
Q8TGU6		YBR182C-A
P14904		YKL103C
Q08219	RRT8	YOL048C
P40571	RPR2	YIR015W
P32897	TIM23	YNR017W
P34220		YBL055C
Q04502		YML089C
Q08287	NOP8	YOL144W
Q07786	SOR2	YDL246C
Q07747	AAD4	YDL243C
Q04162	CIN10	YDR387C
Q03532	HAS1	YMR290C
Q08498		YOR082C
P06367	RPS14A	YCR031C
P38358	VBA2	YBR293W
P46999	PIR5	YJL160C
Q8TGQ3		YBR223W-A
P38615	RIM11	YMR139W
P50943	RRT16	YNL105W
Q07509		YDL094C
Q04083	THI74	YDR438W
P08458	SPS1	YDR523C
Q03050	PAU10	YDR542W
A0A023PXG3		YIL156W-A
O13559	YRF1-4	YLR466W
Q08961	RKM1	YPL208W
Q12202	OSW2	YLR054C
P10863	TIR1	YER011W
O13577	DIF1	YLR437C
O13517		YPL102C
P53755	BSC5	YNR069C
Q03419	IZH1	YDR492W
A0A023PZJ9		YIL115W-A
P42933	SPG5	YMR191W
P40503		YIL086C
Q08231	THP1	YOL072W
Q12219		YOR114W
Q2V2P4		YIL156W-B
P32465	HXT1	YHR094C
Q99345		YOL085C
Q8TGU3		YFL031C-A
P38736	GOS1	YHL031C
Q08909		YOR385W
P53152	MMS2	YGL087C
Q3E846	COA6	YMR244C-A
P42847	MRPS18	YNL306W
Q12282	SPR2	YOR214C
P39728		YAL037W
O13532		YLR217W
Q12177		YLL056C
Q08268	MCH4	YOL119C
P39531	RCY1	YJL204C
P31383	TPD3	YAL016W
P40458	ATG32	YIL146C
P25555	GBP2	YCL011C
Q12395	DCN1	YLR128W
P36067		YKL131W
Q12185		YDR018C
Q99248		YOR019W
P53829	CAF40	YNL288W
P17709	GLK1	YCL040W
Q8TGR3		YER158W-A
P53871	DUG3	YNL191W
P07702	LYS2	YBR115C
P22855	AMS1	YGL156W
P53902		YNL150W
P25632	RSC6	YCR052W
P33199		YGL015C
P39744	NOC2	YOR206W
P32832	NPL6	YMR091C
A0A023PXQ4		YMR173W-A
P47143	ADO1	YJR105W
P38753	HSE1	YHL002W
P25606		YCR100C
Q08811		YOR345C
Q08965	BMS1	YPL217C
P10964	RPA190	YOR341W
Q05672	RBS1	YDL189W
O13540		YLR279W
